"filename", "language", "CSS", "JSON", "PHP", "JavaScript", "XML", "JSON with Comments", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\laragon\www\formation-doctorat\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 45, 0, 22, 67
"c:\laragon\www\formation-doctorat\app\Console\Commands\setup.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 13, 6, 32
"c:\laragon\www\formation-doctorat\app\Console\Kernel.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 7, 6, 28
"c:\laragon\www\formation-doctorat\app\Enums\CandidateStatus.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\laragon\www\formation-doctorat\app\Enums\FormEnum.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\laragon\www\formation-doctorat\app\Enums\RolesEnum.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 0, 10, 42
"c:\laragon\www\formation-doctorat\app\Exceptions\Handler.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 9, 5, 31
"c:\laragon\www\formation-doctorat\app\Http\Controllers\AdminController.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\laragon\www\formation-doctorat\app\Http\Controllers\ApplicationController.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 9, 12, 64
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 6, 7, 43
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 3, 6, 26
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 3, 4, 24
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 0, 14, 9, 70
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Auth\PasswordController.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 3, 6, 30
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 11, 8, 52
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 0, 8, 9, 65
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 3, 6, 29
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Candidate\CandidateController.php", "PHP", 0, 0, 64, 0, 0, 0, 0, 0, 0, 9, 73
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Controller.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\laragon\www\formation-doctorat\app\Http\Controllers\DownloadMediaController.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 3, 8, 34
"c:\laragon\www\formation-doctorat\app\Http\Controllers\FieldController.php", "PHP", 0, 0, 67, 0, 0, 0, 0, 0, 2, 14, 83
"c:\laragon\www\formation-doctorat\app\Http\Controllers\FormController.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Form\AdminForm.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 8, 22
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Form\ApplicationForm.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 0, 3, 12, 70
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Form\BacForm.php", "PHP", 0, 0, 78, 0, 0, 0, 0, 0, 1, 16, 95
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Form\BaseForm.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 8, 23
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Form\DocumentForm.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\laragon\www\formation-doctorat\app\Http\Controllers\Form\Form.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 9, 37
